Store Name	Address	Instagram	Pinterest	Website 1	Website 2	Etsy
Tatyana Boutique	303 Bowery, between E Houston and 1st	tatyanaboutiquenyc				
Mystique Boutique	324 5th Ave, New York, NY 10016	mystiqueboutiquenyc				
Darling NYC						
Dash Boutique	119 Spring St, New York, NY 10012			http://shopdashonline.com/collections/all		
Patricia Field	306 Bowery, New York, NY 10012			http://patriciafield.com/		
Atelier New York	210 11th Ave #1003, New York, NY 10001			http://www.farfetch.com/shopping/atelier-ny/women/items.aspx?ffref=btq_dir#ps=1&pv=60&oby=5	http://www.farfetch.com/shopping/atelier-ny/men/items.aspx?ffref=btq_gnd#ps=1&pv=60&oby=5	
Carson Street Clothiers	63 Crosby St, New York, NY 10012			http://www.farfetch.com/shopping/carson-street-clothiers/men/items.aspx?ffref=btq_gnd#ps=1&pv=60&oby=5		
Chuckies New York	1169 Madison Ave, New York, NY 10028			http://www.farfetch.com/shopping/chuckies-new-york/women/items.aspx?ffref=btq_gnd#ps=1&pv=60&oby=5		
Edon Manor	391 Greenwich St, New York, NY 10013			http://www.farfetch.com/shopping/edon-manor/women/items.aspx?ffref=btq_gnd#ps=1&pv=60&oby=5		
Five Story	18 E 69th St, New York, NY 10021			http://www.farfetch.com/shopping/fivestory/women/items.aspx?ffref=btq_gnd#ps=1&pv=60&oby=5		
Khirma	102 Charles St, New York, NY 10014			http://www.farfetch.com/shopping/khirma/women/items.aspx?ffref=btq_gnd#ps=1&pv=60&oby=5		
Kirna Zabête	477 Broome St, New York, NY 10013			http://www.farfetch.com/shopping/kirna-zabete/women/items.aspx?ffref=btq_gnd#ps=1&pv=60&oby=5		
ODD.	164 Ludlow St, New York, NY 10002			http://www.farfetch.com/shopping/odd/women/items.aspx?ffref=btq_dir#ps=1&pv=60&oby=5	http://www.farfetch.com/shopping/odd/men/items.aspx?ffref=btq_gnd#ps=1&pv=60&oby=5	
