Root word																																																																																																																																																																																																																																																																																							
black_tie_women	ballgown	gown	ball gown	embellished gown	embellished dress	couture	formal	special occasion	floor-sweeping	wedding suite	special occasion	dinner	women black tie	black tie women																																																																																																																																																																																																																																																																									
jacket	blazer	short coat	sport coat	sports jacket	parka	windbreaker	windcheater	lightweight jacket	lightweight coat	topcoat	top coat	pea coat	pea coat	rain coat	raincoat	rain jacket	trench coat	trenchcoat	amauti	anorak	arctic jacket	atillia	hooded jacket	ball jacket	bed jacket	suit jacket	single-breasted jacket	double-breasted jacket	shell jacket	blouson	military jacket	waist-length jacket	cropped jacket	bolero	short jacket	matador jacket	bodyscapes	children jacket	kids jacket	bomber jacket	leather jacket	nylon jacket	boucle jacket	caraco jacket	car coat jacket	mid-thigh jacket	chef jacket	automobile jacket	dinner jacket	dinner suit	tuxedo	donkey jacket	doublet jacket	down jacket	quited jacket	duffle coat	duster coat	eisenhower jacket	field jacket	soldier jacket	M-1965	M-65	US Army jacket	flak jacket	flannel jacket	fleece jacket	flight jacket	gilet	sleeveless jacket	vest	harrington jacket	jean jacket	levi's jacket	jerkin jacket	kilt jacket	scottish jacket	argyll jacket	prince charlie jacket	tweed jacket	lab coat	scientist jacket	leather jacket	motorcycle jacket	life jacket	mackintosh	manteau	mantle	loose coat	mess jacket	eton jacket	choir jacket	morning coat	nehru jacket	norfolk jacket	pea coat jacket	sailor jacket	peplum jacket	puffer jacket	rain jacket	raincoat	rain coat	water-resistant jacket	waterproof jacket	reefer jacket	reefing jacket	reversible jacket	riding jacket	riding habit	satin jacket	ball jacket	smoking jacket	spencer jacket	regency jacket	sport coat	shooting jacket	hacking jacket	straitjacket	tabard	tunic jacket	varsity jacket	letter jacket	letterman jacket	windbreaker jacket	windcheater jacket	tracksuit jacket	track jacket	vacuum jacket	wamus	wamus jacket	roundabout jacket																																																																																																																																																					
rain_coat	raincoat	rain-coat	rain jacket	rain-jacket	bodyscapes	rain coat																																																																																																																																																																																																																																																																																	
tuxedo	dinner jacket	black-tie	dinner suit																																																																																																																																																																																																																																																																																				
office	blazer	jacket	knee length	collar blouse	midi	work dress	belted dress	fit and flare	collar shirt	button down	work pants	cap sleeve dress																																																																																																																																																																																																																																																																											
cocktail_dress	night out	LBD	glamorous	sequin	body-con	sheath dress	elegant dress	evening wear	day to night																																																																																																																																																																																																																																																																														
first_date	dress	cap sleeve dress	fit and flare dress	floral dress	cardigan	sheath dress																																																																																																																																																																																																																																																																																	
wedding	bridal	bridesmaid	men's suit	men's jacket	wedding dress	wedding suite	special occasion dress	fairytale	gown	ballroom gown	floor length	white gown	ivory gown	ballgown	ball gown											cummerband	dupioni dress	wedding_dress																																																																																																																																																																																																																																																											
wedding_dress	bridal dress	white dress	ivory dress	pastel dress	santeen dress	wedding suite	gown	formal dress	special occasion dress	duchesse satin	dupioni dress	special-occasion	taffeta dress	organdy dress	floor length					wedding dress	ball-gown	floor-sweeping	wedding suite	maxi	ballgown																																																																																																																																																																																																																																																														
prom	organza dress	statement dress	maxi dress	formal dress	tuxedo jacket	maxi skirt	gown	ball gown																																																																																																																																																																																																																																																																															
blue	bluette	navy	mystic blue	azure	sky blue	midnight	dusty blue	french blue	ultramarine	ultra-marine	periwinkle	powder blue	light blue	alice blue	system blue	electric blue	egyptian blue	lapis lazuli	dark blue	starry night	teal	blue grass																														blue	bluette	navy	mystic blue	azure	sky blue	midnight	dusty blue	french blue	ultramarine	ultra-marine	periwinkle	powder blue	light blue	alice blue	system blue	electric blue	egyptian blue	lapis lazuli	dark blue							blue	bluette	navy	mystic blue	azure	sky blue	midnight	dusty blue	french blue	ultramarine	ultra-marine	periwinkle	powder blue	light blue	alice blue	system blue	electric blue	egyptian blue	lapis lazuli	dark blue							blue	bluette	navy	mystic blue	azure	sky blue	midnight	dusty blue	french blue	ultramarine	ultra-marine	periwinkle	powder blue	light blue	alice blue	system blue	electric blue	egyptian blue	lapis lazuli	dark blue							blue	bluette	navy	mystic blue	azure	sky blue	midnight	dusty blue	french blue	ultramarine	ultra-marine	periwinkle	powder blue	light blue	alice blue	system blue	electric blue	egyptian blue	lapis lazuli	dark blue							blue	bluette	navy	mystic blue	azure	sky blue	midnight	dusty blue	french blue	ultramarine	ultra-marine	periwinkle	powder blue	light blue	alice blue	system blue	electric blue	egyptian blue	lapis lazuli	dark blue							blue	bluette	navy	mystic blue	azure	sky blue	midnight	dusty blue	french blue	ultramarine	ultra-marine	periwinkle	powder blue	light blue	alice blue	system blue	electric blue	egyptian blue	lapis lazuli	dark blue							blue	bluette	navy	mystic blue	azure	sky blue	midnight	dusty blue	french blue	ultramarine	ultra-marine	periwinkle	powder blue	light blue	alice blue	system blue	electric blue	egyptian blue	lapis lazuli	dark blue							blue	bluette	navy	mystic blue	azure	sky blue	midnight	dusty blue	french blue	ultramarine	ultra-marine	periwinkle	powder blue	light blue	alice blue	system blue	electric blue	egyptian blue	lapis lazuli	dark blue							blue	bluette	navy	mystic blue	azure	sky blue	midnight	dusty blue	french blue	ultramarine	ultra-marine	periwinkle	powder blue	light blue	alice blue	system blue	electric blue	egyptian blue	lapis lazuli	dark blue
